"AgeGroup","Year","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h"
"18-30",2014,947,0.0971488912354805,28.8524498848506,41.8461793688544,8.22657514959521,4.96028827781127,9.22319688109162,3.26413655935323,855,18.3349707602339,3.54735151262927
"31-55",2014,2219,0.0815682739972961,37.4230689385611,52.0585123909263,8.51358720144209,4.56341503904694,8.34682695453059,2.76300434369173,2038,17.6165276414786,3.15040456705136
"56-65",2014,809,0.147095179233622,27.255043299795,45.0133452029852,6.21221672847136,4.86123293482117,9.30966183574879,3.0495992659579,690,16.5932608695652,3.42586223983678
"66+",2014,1006,0.244532803180915,18.0123856887073,37.8539816121483,3.49837640821736,3.88468632624454,10.859649122807,2.53307106210897,760,15.4903947368421,3.69177322804336
"10-17",2015,650,0.08,12.0944307662776,20.3884591685516,8.03530769230769,3.91302198922983,8.31298773690078,2.11299199868894,598,17.0470178372352,2.706872526583
"18-30",2015,834,0.092326139088729,28.0908033831416,42.4685804485697,8.0371103117506,4.87034695904602,9.36580801409071,3.42203148039357,757,18.2204315279612,3.42446073912488
"31-55",2015,2016,0.0625,39.6631498040293,54.9680485074298,8.72949735449735,4.48962838726565,8.36988536155203,2.74463169363847,1890,17.6813492063492,3.2120467479878
"56-65",2015,785,0.119745222929936,28.4372101741445,39.7844982575316,6.51445859872611,4.79902090995454,9.3297153883261,3.34509202799005,691,16.7303666184274,3.3357308470672
"66+",2015,923,0.240520043336945,17.7266847058578,38.739941645735,3.37955940772842,3.65829492231884,11.0350689491203,2.78262903820952,701,15.4849025202092,3.46363579652369
"10-17",2016,580,0.0603448275862069,15.4844482560353,28.448377948549,8.67824712643678,3.94362055163874,8.36422018348624,2.24705101961737,545,17.5997859327217,2.86847893849584
"18-30",2016,895,0.0837988826815642,30.5397318294303,45.5874624427281,8.6280260707635,4.86270838504605,9.10142276422764,3.00281286438079,820,18.5185975609756,3.5132561913275
